temporada,episodio,titulo,data_estreia,rating_imdb,votos_imdb,duracao,plot
3,19,The One with the Tiny T-Shirt,27 Mar 1997,8.0,5213.0,30 min,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him."
3,20,The One with the Dollhouse,10 Apr 1997,7.9,5161.0,22 min,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna."
3,21,The One with a Chick and a Duck,17 Apr 1997,8.6,5776.0,23 min,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her."
3,22,The One with the Screamer,24 Apr 1997,8.1,5254.0,22 min,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company."
3,23,The One with Ross's Thing,01 May 1997,,5183.0,22 min,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.
3,24,The One with the Ultimate Fighting Champion,08 May 1997,8.0,5586.0,22 min,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by...
3,25,The One at the Beach,15 May 1997,8.7,5963.0,22 min,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie."
4,1,The One with the Jellyfish,25 Sep 1997,8.9,6831.0,22 min,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach."
4,2,The One with the Cat,02 Oct 1997,7.9,5298.0,22 min,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.
4,3,The One with the 'Cuffs,09 Oct 1997,8.4,5408.0,22 min,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encycl...
4,4,The One with the Ballroom Dancing,16 Oct 1997,8.0,5191.0,22 min,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.
4,5,The One with Joey's New Girlfriend,30 Oct 1997,,5209.0,22 min,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.
4,6,The One with the Dirty Girl,06 Nov 1997,,5382.0,22 min,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword p...
4,7,The One Where Chandler Crosses the Line,13 Nov 1997,,5388.0,22 min,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.
4,8,The One with Chandler in a Box,20 Nov 1997,9.0,6699.0,22 min,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in ...
4,9,The One Where They're Going to Party!,11 Dec 1997,,5086.0,22 min,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming ...
4,10,The One with the Girl from Poughkeepsie,18 Dec 1997,7.9,5283.0,22 min,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls."
4,11,The One with Phoebe's Uterus,08 Jan 1998,8.4,5509.0,22 min,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.
